School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile
Loyola University New Orleans,Yes (TB),All / Permanent Policy,Starting with the Fall 2021 application cycle Loyola will not require a standardized test score for its university admission application and will not consider a test score should a student choose to submit.,5857,75.0%,1050-1260,22-28
California State University--Monterey Bay,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,75.3%,960-1170,17-23
Whittier College,Yes*,All / Permanent Policy,Whittier College offers a test optional policy which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.,6220,75.9%,1030-1213,20-25
Kalamazoo College,Yes,All / Permanent Policy,Kalamazoo College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3576,76.0%,1170-1370,25-31
Towson University,Yes,2021,Towson has adopted a one-year test optional policy for applicants for Fall 2021 admission.,12678,76.3%,1060-1220,20-25
Centre College,Yes,2021 2022 2023,Centre College has adopted a three-year test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2212,76.4%,1130-1380,26-32
University of Texas San Antonio,Yes,2021,University of Texas San Antonio has adopted a one-year test optional policy for first-year applicants entering through Spring 2022. However it still recommends submitting test scores as this can affect scholarship eligibility and admission into certain colleges or majors that require the SAT/ACT.,17122,76.6%,1030-1220,19-25
Ball State,Yes,All / Permanent Policy,Ball State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,23305,76.7%,--,--
James Madison University,Yes,All / Permanent Policy,James Madison University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,23578,76.8%,1120-1290,23-28
Appalachian State University,Yes,2021,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,76.8%,1100-1270,22-28
Indiana University—​Bloomington,Yes,All / Permanent Policy,Indiana University--Bloomington offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who attend schools with nontraditional grading systems are not eligible for test optional admission.,44169,76.9%,1150-1360,24-31
High Point University,Yes,All / Permanent Policy,High Point University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.,10098,76.9%,1090-1250,22-27
Virginia Commonwealth University,Yes*,All / Permanent Policy,Virginia Commonwealth University requires either the SAT or ACT. However they will waive the requirement for students with a 3.3+ GPA. Applicants who wish to qualify for merit scholarships homeschooled applicants applicants to the VCU Honors College College of Engineering or School of Education and non-native English speakers are not eligible for TO. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,18622,77.1%,1070-1260,21-28
University of Arkansas—​Fayetteville,Yes*,2021,The University of Arkansas requires either the SAT or the ACT. Fall 2021 applicants may apply test-optional with a 3.2+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17913,77.1%,1120-1300,23-30
John Brown University,Yes,2021,John Brown University has adopted a one-year test optional policy for students entering in Fall 2021.,1094,77.1%,1060-1365,23-30
University of Idaho,Yes,2021,University of Idaho has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,8071,77.8%,1010-1240,20-27
University of Missouri,Yes,2021,Mizzou has adopted a one-year test optional policy for students applying to the Fall 2021 term.,18948,77.8%,1090-1290,23-29
Willamette University,Yes,All / Permanent Policy,Willamette University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3972,77.9%,1140-1340,31-35
University of Nebraska—​Lincoln,Yes*,All / Permanent Policy,The University of Nebraska-Lincoln requires either the SAT or the ACT. However it will waive this requriement for students with a 3.0+ GPA or who rank in the top half of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16829,78.2%,1120-1360,22-28
Carroll College,Yes*,All / Permanent Policy,Carroll College requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled wish to apply to Direct Entry Nursing or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2709,78.3%,1070-1270,22-28
College of Charleston,Yes,2021,The College of Charleston has adopted a one-year test optional policy for applicants in the 2020-21 admissions cycle. However home-schooled students are required to submit scores.,11783,78.3%,1080-1260,22-28
University of Colorado—​Boulder,Yes,2021,University of Colorado--Boulder has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,40740,78.4%,1140-1350,25-31
Elon University,Yes,2021 2022 2023,Elon has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,10500,78.4%,1160-1320,25-30
Seattle University,Yes,All / Permanent Policy,Seattle University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled applicants are not elligible for test optional admission.,7968,78.5%,1160-1330,24-30
University of Texas—​Dallas,Yes,2021,University of Texas-Dallas has adopted a test optional policy for students applying for the Summer and Fall 2021 terms.,14327,78.6%,1240-1460,26-33
East Carolina,Yes,2021,ECU has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,19234,78.7%,1030-1190,19-24
University of Tennessee,Yes,2021,The University of Tennessee has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. However home-schooled students students attending a school not using alpha or numerical grades and student-athletes are not eligible for TO admission.,21764,78.8%,1150-1330,24-30
University of Texas Arlington,Yes,2021,University of Texas Arlington has adopted a one-year test optional policy for first-year applicants entering in the Fall of 2021.,12335,79.5%,1060-1260,20-26
Pacific Lutheran University,Yes,All / Permanent Policy,Pacific Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program students interested in teaching and international applicants strongly encouraged to submit scores.,3740,79.8%,1070-1270,20-28
Western Michigan,Yes,2021,WMU has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,17698,79.9%,1000-1210,19-26
Loyola University Maryland,Yes,All / Permanent Policy,Loyola University Maryland offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,10077,80.2%,1143-1320,25-30
Miami University—​Oxford,Yes,2021,Miami University-Oxford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,28920,80.4%,1210-1410,26-31
Goucher College,Yes,All / Permanent Policy,Goucher College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3154,80.4%,1040-1290,22-29
University of Oklahoma,Yes,2021,University of Oklahoma has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15673,80.4%,1130-1310,23-29
Auburn University,Yes,2021,Auburn University has adopted a one-year test optional policy however students who choose not to submit ACT/SAT scores must submit a graded writing assignment an expanded resume or an AP/IB score report.,20205,80.7%,1150-1320,25-31
University of Nevada—​Las Vegas,Yes*,All / Permanent Policy,UNLV requires either the SAT or ACT however they will waive the requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,12720,80.7%,1030-1250,19-25
Boise State,Yes (TB),2021,Boise State has adopted a one-year test blind policy for students applying to the Spring and Fall 2021 semesters. However test scores are required for scholarship eligibility.,10788,80.8%,960-1180,21-26
St. Mary's College of California,Yes,All / Permanent Policy,St. Mary's offers a test optional policy which allows students to be considered for admission without test scores. However student-athletes homeschooled students and students attending schools that don't give grades must provide test scores.,6069,81.0%,1070-1240,22-28
Siena College,Yes,All / Permanent Policy,Siena College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants must meet certain academic requirements to apply test optional. Additionally applicants to select programs are not eligible for test optional admission.,7728,81.1%,1070-1280,22-28
University of North Dakota,Yes,2021,University of North Dakota has adopted a one-year test optional policy for first-year applicants both domestic and international entering through Fall 2022.,4964,81.1%,1010-1250,20-26
Texas State University,Yes,2021,Texas State University has adopted a one-year "holistic review" policy for applicants whose test dates have been affected by COVID-19 cancellations.,23583,81.1%,1010-1180,19.3-25.3
Colorado State University,Yes,2021,Colorado State University has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,28319,81.4%,1070-1290,23-29
University of Memphis,Yes,2021,UM has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15381,81.4%,1010-1230,19-26
West Virginia University,Yes,2021,WVU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18639,81.6%,1050-1240,21-27
University of Oregon,Yes,All / Permanent Policy,The University of Oregon offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission and must submit two Subject Tests: Math I or II and a second one.,27358,81.6%,1100-1310,22-28
University of St. Thomas (MN),Yes,All / Permanent Policy,The University of St. Thomas offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6819,81.9%,1130-1380,24-29
St. Mary's College (IN),Yes,All / Permanent Policy,Saint Mary's College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,1862,81.9%,1050-1260,22-28
Illinois State,Yes,All / Permanent Policy,Illinois State offers a test optional policy which allows students to be considered for admission without standardized test scores.,16151,81.9%,1020-1220,20-26
Ohio University,Yes,All / Permanent Policy,Ohio University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,24179,82.1%,1050-1260,21-26
California State University--Sacramento,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,27576,82.3%,940-1140,16-22
University of North Carolina—​Greensboro,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,9972,82.4%,1000-1160,19-24
University of Iowa,Yes,2021,University of Iowa has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,25928,82.6%,1130-1340,22-29
St. Michael's College,Yes,All / Permanent Policy,St. Michael's College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants are not eligible for test optional admission.,4040,82.6%,1140-1320,25-29
University of Alaska Anchorage,Yes,All / Permanent Policy,University of Alaska Anchorage offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3673,83.0%,1020-1220,17-24
Marquette University,Yes,All / Permanent Policy,Marquette University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores to both domestic and international applicants.,15078,83.0%,1120-1320,24-29
College of St. Benedict,Yes,All / Permanent Policy,The College of Saint Benedict offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students students who attend schools with nontraditional grading systems and applicants to the Nursing Early Admission Program are not eligible for test optional admission.,1931,83.4%,990-1210,22-27
Oregon State University,Yes,All / Permanent Policy,Oregon State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,15786,83.6%,1080-1320,21-28
The Catholic University of America,Yes (TB),All / Permanent Policy,The Catholic University of America has adopted a test blind policy which means they will not consider SAT or ACT scores for admission.,6096,83.7%,1140-1320,24-30
University of Puget Sound,Yes,All / Permanent Policy,Puget Sound offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.,5182,83.8%,1150-1370,25-30
University of New Hampshire,Yes,All / Permanent Policy,The University of New Hampshire offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However all Division 1 athletic recruits are required to submit standardized test scores.,18040,84.0%,1070-1270,22-28
Missouri University of Science & Technology,Yes,2021,Missouri S&T has adopted a one-year test optional policy for students applying to the Fall 2021 term. Students who apply without test scores will be required to submit additional information.,4333,84.2%,1180-1380,25-31
St. Mary's College of Maryland,Yes,All / Permanent Policy,Saint Mary's College of Maryland has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.,1621,84.3%,1060-1290,21-29
University of Arizona,Yes,All / Permanent Policy,University of Arizona offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the UA Honors College the College of Fine Arts the College of Nursing the College of Architecture Planning and Landscape Architecture and College of Engineering and homeschooled students are not eligible for test optional admission.,40854,84.6%,1120-1350,21-29
Susquehanna University,Yes,All / Permanent Policy,Susquehanna University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4863,84.8%,1100-1290,22-28
Arizona State University—​Tempe,Yes*,All / Permanent Policy,ASU requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ GPA or who rank in the top 25% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,26869,84.8%,1130-1360,22-29
Wheaton College (IL),Yes,2021,Wheaton has adopted a one-year test optional policy for students applying in the 2020-21 admissions cycle.,1889,84.8%,1220-1440,26-32
Northern Arizona,Yes,All / Permanent Policy,Northern Arizona University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores required to receive merit-based scholarships.,36855,85.0%,1030-1230,19-25
Washington and Jefferson College,Yes,All / Permanent Policy,Washington and Jefferson College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,2722,85.2%,1090-1280,22-28
Kent State,Yes,All / Permanent Policy,Kent State requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16308,85.5%,1040-1230,20-26
Mills College,Yes,All / Permanent Policy,Mills College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,1003,85.5%,1008-1240,21-29
Hope College,Yes,2021,Hope College has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However students who wish to be considered for merit scholarships must submit test scores.,3748,85.7%,1130-1330,23-31
Valparaiso University,Yes,2021 2022,Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,5491,85.8%,1070-1290,22-29
George Mason University,Yes,All / Permanent Policy,George Mason University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who major in computer science and engineering majors home-schooled applicants and students seeking to become a member of one of George Mason’s NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.,19554,86.7%,1110-1320,24-30
Old Dominion,Yes,All / Permanent Policy,ODU offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13335,87.0%,990-1200,18-24
Missouri State,Yes*,2021,Missouri State University requires either the SAT or ACT however it will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7581,87.9%,1040-1240,21-27
University of Wisconsin Milwaukee,Yes,2021,The University of Wisconsin--Milwaukee has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,8280,88.5%,1000-1398,20-25
Transylvania University,Yes,All / Permanent Policy,Transylvania University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.,1702,88.7%,1100-1310,24-30
Weber State,Yes,All / Permanent Policy,Weber State University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores are recommended to help determine scholarship eligibility and Math & English placement.,6853,89.1%,--,18-24
University of Maine,Yes,2021 2022,University of Maine has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,13118,90.2%,1050-1260,21-27
Humboldt State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16335,90.9%,980-1190,17-25
Utah State,Yes,2021,Utah State has adopted a one-year test optional policy for students applying to enroll in the 2021 terms.,15276,91.0%,1050-1310,21-28
Iowa State University,Yes,2021,Iowa State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18246,92.1%,1100-1340,22-28
Washington College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and internantional applicants are not eligible for test optional admission.,2225,92.4%,1090-1300,20-29
University of Montana,Yes,2021,University of Montana has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6182,92.6%,1060-1270,21-26
Samford University,Yes,2021,Samford University has adopted a one-year test optional policy for students applying to the Fall 2021 semester.,3912,92.9%,1070-1250,23-29
University of Kansas,Yes*,All / Permanent Policy,The University of Kansas requires either the SAT or the ACT. However they will waive the requirement for students with a 3.4+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15093,93.1%,--,23-29
University of Kentucky,Yes,2021,The University of Kentucky has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19324,94.5%,1080-1300,23-29
University of Toledo,Yes,All / Permanent Policy,University of Toledo offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,10228,95.1%,1000-1240,20-26
Kansas State University,Yes*,All / Permanent Policy,Kansas State requires either the SAT or ACT. However they will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,8140,95.7%,--,22-28
Portland State,Yes,All / Permanent Policy,Portland State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attended homeschool or a non-accredited non-standard high school are required to submit test scores.,7821,96.1%,1010-1230,18-25
Queens University of Charlotte,Yes,All / Permanent Policy,Queens University of Charlotte offers a test optional policy which allows students to be considered for admission without SAT or ACT scores though they encourage applicants to submit scores.,2319,96.2%,1040-1240,21-27
Western Kentucky,Yes*,All / Permanent Policy,WKU offers a test optional policy for students with a 2.5+ GPA.,8245,97.3%,990-1220,19-27
United States Naval Academy,No,,USNA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,16332,8.3%,1240-1520,27-32
United States Military Academy,No,,The US Military Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,11675,10.3%,1160-1380,25-30
United States Air Force Academy,No,,The United States Air Force Academy requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10354,11.1%,1230-1440,28-33
United States Coast Guard Academy,No,,The United States Coast Guard Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,2274,12.8%,1245-1420,26-31
United States Merchant Maritime Academy,No,,USMMA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,1693,24.8%,1200-1340,25-31
Howard University,No,,Howard University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,20946,31.6%,1140-1285,22-27
Florida State University,No,,Florida State University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,58936,36.0%,1200-1340,26-30
Hillsdale College,No,,Hillsdale College requires either the SAT the ACT or the CLT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2208,36.0%,1275-1465,29-32
University of Central Florida,No,,University of Central Florida requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. Subject Tests are not required.,35240,38.2%,1160-1340,25-29
University of Florida,No,,The University of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,38905,38.8%,1280-1440,27-32
University of South Florida,No,,University of South Florida requries either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not considered.,36986,47.7%,1170-1330,25-29
Gallaudet University,No,,Gallaudet University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,496,57.1%,793-1078,15-20
Florida International,No,,Florida International University requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. It does not consider SAT Subject Test scores.,18492,57.5%,1240-1300,23-28
Morehouse College,No,,Morehouse College requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3554,57.9%,1010-1210,20-25
University of Alabama,No,,University of Alabama requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,37302,59.1%,1060-1280,23-31
Milwaukee School of Engineering,No,,The Milwaukee School of Engineering requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3552,61.7%,--,25-30
Florida Institute of Technology,No,,Florida Institute of Technology requires either the SAT or ACT. It generally does not require the optional SAT Essay or ACT Writing Test but it may be required for some applicants. Subject Tests are not required however the Math II Chemistry Physics and Literature Subject Tests are recommended for homeschooled applicants.,9743,65.7%,1150-1360,24-30
Louisiana State University—​Baton Rouge,No,,Louisiana State University requires either the SAT or the ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,24501,74.6%,1080-1310,23-29
The Citadel,No,,The Citadel requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2742,74.7%,1050-1230,20-25
New College of Florida,No,,The New College of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,1340,76.8%,1220-1420,26-31
Thomas Aquinas College,No,,Thomas Aquinas College requires requires that applicants take the SAT the ACT or the Classic Learning Test. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required. Thomas Aquinas College does not offer merit-based aid.,211,77.7%,1220-1400,25-30
University of Texas Rio Grande Valley,No,,University of Texas Rio Grande Valley requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10680,79.8%,950-1130,17-22
University of South Dakota,No,,Unviersity of South Dakota requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,4434,86.4%,990-1180,19-25
University of Mississippi,No,,Ole Miss requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15371,88.1%,1050-1270,21-29
University of Wyoming,No,,University of Wyoming requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,5348,96.0%,1060-1280,22-28
University of Texas El Paso,No,,UTEP requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. It does not superscore.,7157,99.9%,820-1050,17-23
